 ;3;7;11;15;19;22;26;31;35;39;42;45;49;53;57;60;64;68;71;74;79;82;86;90;91;95;98;100;102;105;109;113;117;120;123;126;130;133;137;141;145;149;153;157;161;165;169;173;174;178;182;185;190;191;193;196;200;203;207;210;214;218;221;223;226;230;233;236;239;243;245;249;253;256;260;264;268;273;277;280;284;288;292;296;299;303;306;310;312;315;318;321;325;329;333;337;341;345;350;354;358;362;365;370;376;382;386;390;395;399;404;407;410;414;418;421;425;429;433;437;440;444;447;450;454;458;462;466;470;474;478;481;485;489;492;496;499;503;507;511;517;520;524;528;532;536;539;542;544;548;552;556;560;
probe\\IMG_001_L_1;0.067694;0.081868;0.201573;0.119823;0.145499;0.229442;0.119516;0.135775;0.324529;0.124572;0.092869;0.148929;0.171177;0.097390;0.133112;0.209953;0.253942;0.258997;0.223483;0.126035;0.201040;0.219633;0.635275;0.263286;0.300964;0.206888;0.106608;0.202921;0.300346;0.166806;0.127868;0.155129;0.165359;0.173197;0.304524;0.163891;0.192202;0.204759;0.065069;0.158888;0.180249;0.168579;0.168560;0.222790;0.089800;0.152998;0.209307;0.173056;0.977157;0.159648;0.215302;0.183786;0.141778;0.419395;0.328566;0.246556;0.117323;0.178950;0.589632;0.527452;0.207338;0.281162;0.492942;0.236180;0.136388;0.353171;0.181322;0.149322;0.227224;0.170962;0.160162;0.163504;0.137882;0.179891;0.439115;0.370443;0.353902;0.305643;0.113502;0.244776;0.083026;0.102415;0.136488;0.204108;0.083722;0.298269;0.140840;0.131345;0.275192;0.442593;0.246770;0.168857;0.347416;0.157156;0.115074;0.198206;0.475986;0.497523;0.117404;0.381243;0.161838;0.166998;0.189716;0.171701;0.200719;0.200400;0.058795;0.212394;0.126058;0.325331;0.156571;0.202019;0.221659;0.407691;0.217678;0.282417;0.273914;0.199819;0.248528;0.131288;0.138975;0.417319;0.255650;0.268434;0.093303;0.216426;0.385584;0.153725;0.299957;0.330053;0.127747;0.194119;0.165605;0.157298;0.122220;0.174421;0.219990;0.154278;0.114472;0.224808;0.072281;0.461484;0.147926;0.264240;0.299185;0.227535;0.526083;0.308492;0.271006;0.146202;0.228879;0.272189;0.388659;
probe\\IMG_001_R_1;0.106865;0.073394;0.238653;0.157168;0.262837;0.318344;0.206507;0.122390;0.334516;0.104721;0.146901;0.220575;0.233605;0.048619;0.121446;0.151855;0.291001;0.225997;0.314174;0.166672;0.239648;0.197910;0.769051;0.369110;0.331990;0.236872;0.114669;0.158092;0.419320;0.118162;0.179482;0.196955;0.191959;0.198273;0.305333;0.252032;0.226551;0.208083;0.109061;0.102272;0.245217;0.119514;0.142292;0.126240;0.114178;0.109703;0.308176;0.179176;0.976243;0.179802;0.200360;0.216255;0.079486;0.434389;0.397451;0.240905;0.127535;0.239238;0.577161;0.450611;0.130801;0.240407;0.487457;0.145864;0.184538;0.344037;0.265295;0.125839;0.226267;0.199774;0.165952;0.229523;0.160247;0.154359;0.562599;0.485585;0.364588;0.245653;0.115127;0.237841;0.116282;0.090587;0.156095;0.188489;0.122712;0.295318;0.114710;0.081338;0.341525;0.529204;0.347954;0.131775;0.510923;0.149089;0.119781;0.204367;0.572814;0.541045;0.143043;0.508349;0.138097;0.139475;0.258476;0.159121;0.222640;0.188553;0.105370;0.244394;0.192901;0.420384;0.184692;0.213647;0.262396;0.454185;0.298072;0.391062;0.200489;0.150968;0.287872;0.083722;0.187282;0.451807;0.289102;0.359573;0.124697;0.109597;0.537541;0.156810;0.342630;0.344542;0.137935;0.126413;0.104517;0.099923;0.185572;0.091756;0.177277;0.131672;0.102464;0.256123;0.094495;0.597387;0.239988;0.367835;0.314718;0.198438;0.530559;0.308324;0.399293;0.072503;0.188527;0.325703;0.398904;
probe\\IMG_002_L_1;0.245543;0.249131;0.057037;0.114242;0.162960;0.258495;0.176816;0.195661;0.254654;0.190663;0.115159;0.219307;0.226433;0.247290;0.246827;0.323973;0.189369;0.219520;0.222969;0.151946;0.110404;0.158364;0.699494;0.349831;0.169793;0.184601;0.161175;0.161699;0.334402;0.192483;0.088250;0.114733;0.122782;0.157687;0.278281;0.264478;0.152472;0.166980;0.255805;0.197947;0.263097;0.267812;0.263499;0.269061;0.151816;0.236148;0.278960;0.296159;0.920282;0.209256;0.184455;0.200645;0.200313;0.278807;0.214982;0.175127;0.215818;0.220274;0.498512;0.485689;0.358012;0.310056;0.405060;0.297412;0.187472;0.271498;0.260988;0.259336;0.151131;0.160305;0.148477;0.119926;0.136629;0.127786;0.466397;0.358831;0.261039;0.295195;0.180971;0.208525;0.219273;0.199381;0.200122;0.245801;0.226895;0.270597;0.245936;0.228992;0.226702;0.366368;0.255439;0.200872;0.374843;0.183981;0.193498;0.185763;0.474355;0.434361;0.179179;0.413864;0.274426;0.183224;0.207659;0.174173;0.155475;0.200540;0.226586;0.177810;0.194597;0.383809;0.125180;0.184220;0.227407;0.387972;0.272721;0.370789;0.333662;0.209042;0.269461;0.216780;0.143556;0.312356;0.279443;0.226745;0.197727;0.328284;0.431444;0.224336;0.156097;0.212935;0.161990;0.236007;0.293760;0.299779;0.136059;0.229590;0.298152;0.327470;0.170450;0.263740;0.172279;0.497528;0.200449;0.316281;0.214470;0.152374;0.418188;0.224532;0.305853;0.319419;0.300459;0.348525;0.347623;
probe\\IMG_002_R_1;0.186478;0.184725;0.108830;0.019810;0.171817;0.216096;0.153710;0.145417;0.323060;0.176125;0.116167;0.155171;0.193521;0.205632;0.239591;0.271267;0.200496;0.218237;0.232330;0.136884;0.131070;0.116982;0.727458;0.285946;0.192364;0.165846;0.143445;0.164750;0.297960;0.153739;0.119391;0.131864;0.123225;0.137917;0.322902;0.196194;0.202945;0.142959;0.188958;0.165078;0.234899;0.215457;0.205616;0.239182;0.129086;0.184830;0.252482;0.276874;0.934326;0.177406;0.171318;0.209444;0.153193;0.275063;0.238198;0.189475;0.199870;0.184408;0.567789;0.526444;0.314882;0.253587;0.449698;0.278138;0.187475;0.306925;0.207081;0.203777;0.176335;0.138284;0.157301;0.144330;0.131348;0.095587;0.474757;0.362989;0.294512;0.269823;0.132010;0.188525;0.181695;0.157786;0.207424;0.282924;0.202545;0.272837;0.208285;0.183428;0.264355;0.362053;0.245449;0.171817;0.369496;0.207039;0.175726;0.190183;0.490114;0.457863;0.173531;0.394409;0.221890;0.115228;0.169062;0.168344;0.144979;0.184454;0.181668;0.201542;0.139811;0.318968;0.133704;0.174346;0.234807;0.410088;0.263862;0.330644;0.310746;0.205398;0.264743;0.182778;0.158196;0.309727;0.231627;0.257659;0.148351;0.290559;0.414734;0.211189;0.257363;0.240292;0.121151;0.234755;0.261301;0.249366;0.137141;0.189404;0.315790;0.252999;0.152782;0.251276;0.147157;0.487329;0.190779;0.320131;0.249334;0.181417;0.471301;0.227870;0.270581;0.251429;0.280798;0.296977;0.406897;
probe\\IMG_003_L_1;0.178397;0.184454;0.168783;0.164717;0.038683;0.101724;0.126129;0.176798;0.443461;0.168225;0.098438;0.141347;0.118455;0.240752;0.336335;0.293086;0.182345;0.230350;0.081286;0.093115;0.236402;0.269928;0.552719;0.233824;0.236119;0.186771;0.170738;0.279253;0.202175;0.298479;0.101348;0.163767;0.129098;0.119955;0.241546;0.137602;0.078715;0.232343;0.140470;0.195178;0.167087;0.265536;0.193433;0.261242;0.179484;0.204049;0.148366;0.338149;0.962324;0.212792;0.313435;0.274707;0.269047;0.433926;0.350588;0.303164;0.151665;0.162015;0.674102;0.655251;0.273711;0.259374;0.389935;0.295185;0.237497;0.427293;0.167163;0.251470;0.158320;0.142743;0.207660;0.202578;0.148119;0.152336;0.246054;0.192362;0.449413;0.470128;0.148305;0.224433;0.117181;0.140432;0.175560;0.238210;0.170481;0.295551;0.243081;0.257444;0.136105;0.303984;0.092622;0.195165;0.173332;0.207112;0.154788;0.159215;0.349343;0.364784;0.201639;0.229544;0.290228;0.248580;0.176253;0.159450;0.135404;0.222148;0.128578;0.242035;0.168464;0.231883;0.147241;0.149925;0.107751;0.267009;0.141090;0.148398;0.270166;0.349868;0.228747;0.299398;0.239637;0.455263;0.192815;0.120295;0.199260;0.377054;0.218505;0.153963;0.189466;0.360507;0.188393;0.260075;0.367977;0.317316;0.177329;0.362597;0.357997;0.256522;0.145441;0.184339;0.204906;0.291952;0.099486;0.124716;0.348224;0.277575;0.588898;0.377118;0.205292;0.265819;0.228106;0.249965;0.304020;
probe\\IMG_003_R_1;0.166383;0.122840;0.202394;0.170365;0.104157;0.026391;0.152325;0.097063;0.511741;0.101906;0.146225;0.096967;0.093482;0.188577;0.426669;0.258152;0.257512;0.239668;0.114305;0.096585;0.288010;0.277227;0.609781;0.146499;0.248716;0.192530;0.254491;0.257067;0.147839;0.317253;0.124984;0.155117;0.162223;0.067713;0.251150;0.087992;0.124803;0.220014;0.140962;0.104756;0.154893;0.204945;0.178053;0.203354;0.177702;0.141932;0.122222;0.397019;0.974005;0.265188;0.315481;0.368186;0.211257;0.455465;0.373267;0.330416;0.144767;0.127761;0.714952;0.691108;0.255185;0.153640;0.416508;0.278015;0.280751;0.417274;0.156066;0.186016;0.167295;0.123923;0.200676;0.255989;0.140994;0.083083;0.282166;0.161944;0.482245;0.472854;0.140753;0.175793;0.134742;0.110817;0.146665;0.282826;0.211746;0.280455;0.251972;0.214649;0.138719;0.277628;0.115060;0.130738;0.172261;0.229797;0.132441;0.118796;0.365504;0.345132;0.274347;0.157688;0.325712;0.231227;0.219848;0.132656;0.194674;0.203579;0.153249;0.282189;0.173636;0.160611;0.181452;0.111758;0.156693;0.235378;0.125588;0.171393;0.230725;0.340923;0.191152;0.273596;0.313500;0.460022;0.167671;0.107892;0.271284;0.355371;0.181848;0.115663;0.195528;0.369920;0.200157;0.209750;0.393989;0.255157;0.235013;0.374692;0.440655;0.213917;0.120657;0.124009;0.268431;0.255186;0.156366;0.132138;0.372093;0.255509;0.647414;0.363221;0.162216;0.168095;0.185611;0.171038;0.311656;
probe\\IMG_004_L_1;0.140938;0.197981;0.213490;0.200961;0.129405;0.131871;0.103912;0.132623;0.534826;0.124335;0.126197;0.185850;0.080016;0.170922;0.504338;0.223560;0.193461;0.273280;0.120770;0.148172;0.293864;0.361064;0.635786;0.170993;0.225297;0.240076;0.281011;0.323988;0.105585;0.323280;0.158681;0.243481;0.142600;0.187286;0.205297;0.142496;0.120750;0.344499;0.094285;0.155011;0.137434;0.174848;0.197273;0.179361;0.180746;0.123397;0.188643;0.477411;0.980879;0.270674;0.393091;0.410776;0.334485;0.515739;0.391122;0.377756;0.127045;0.178590;0.777840;0.763533;0.196495;0.226885;0.410559;0.289169;0.338459;0.503409;0.149750;0.228625;0.144188;0.153896;0.301302;0.305268;0.177039;0.151448;0.267758;0.138550;0.550215;0.582380;0.128012;0.199197;0.161292;0.194145;0.178890;0.313090;0.240166;0.284771;0.300829;0.173503;0.171643;0.364598;0.099696;0.158880;0.102708;0.238300;0.152412;0.123617;0.361470;0.334549;0.338082;0.148295;0.369398;0.327041;0.227032;0.135113;0.244424;0.210334;0.125807;0.294798;0.167470;0.124124;0.199159;0.148577;0.118811;0.261217;0.127643;0.205241;0.213872;0.420937;0.196100;0.206912;0.355411;0.502784;0.152182;0.128666;0.351057;0.475648;0.158920;0.131312;0.144563;0.430990;0.251434;0.149862;0.325320;0.203803;0.263718;0.487273;0.477848;0.308750;0.114970;0.113424;0.231929;0.242605;0.233408;0.174305;0.406349;0.336096;0.698767;0.434924;0.127151;0.163855;0.208873;0.143819;0.273914;
probe\\IMG_004_R_1;0.196004;0.183018;0.267162;0.245901;0.143870;0.080725;0.172499;0.078506;0.584934;0.118019;0.161176;0.143375;0.120901;0.169873;0.506366;0.275011;0.257661;0.260910;0.111241;0.117973;0.342177;0.328681;0.599467;0.192818;0.278312;0.244198;0.310631;0.305190;0.156546;0.354102;0.162420;0.215237;0.188721;0.115436;0.238914;0.112716;0.140061;0.258461;0.132098;0.122022;0.163584;0.192915;0.207042;0.192593;0.238490;0.136266;0.156823;0.460479;0.979355;0.325792;0.374571;0.449352;0.284556;0.501176;0.427907;0.392811;0.149736;0.193791;0.795107;0.769549;0.254288;0.214685;0.417501;0.276557;0.363575;0.477738;0.197631;0.229995;0.167255;0.160238;0.257256;0.334114;0.211719;0.081650;0.257148;0.141207;0.564045;0.552650;0.177402;0.183932;0.196311;0.162711;0.185744;0.325018;0.265773;0.328379;0.316805;0.216747;0.162277;0.301351;0.121942;0.134350;0.165605;0.224132;0.166066;0.123877;0.378883;0.371674;0.344582;0.149545;0.380111;0.291668;0.272160;0.124531;0.246704;0.249246;0.151655;0.304590;0.206683;0.178039;0.242493;0.129922;0.149181;0.234306;0.154166;0.195535;0.237165;0.416977;0.224999;0.258837;0.383237;0.512224;0.176040;0.099372;0.350806;0.421448;0.174968;0.126140;0.179503;0.422991;0.284239;0.189277;0.401481;0.264645;0.310742;0.430752;0.505572;0.283199;0.148689;0.121743;0.301932;0.250487;0.212736;0.156702;0.438361;0.304872;0.684571;0.423884;0.203499;0.213388;0.236014;0.202780;0.300932;
probe\\IMG_005_L_1;0.696053;0.287443;0.544371;0.647116;0.651721;0.809850;0.765753;0.778642;0.068963;0.096865;0.717653;0.216172;0.867184;0.757620;0.162133;0.223986;0.384791;0.250268;0.299594;0.419416;0.198867;0.541760;0.998578;0.953819;0.584239;0.467155;0.713034;0.588104;0.964793;0.634112;0.576303;0.380443;0.723443;0.787058;0.362083;0.881429;0.546874;0.419779;0.821144;0.699204;0.507761;0.817605;0.789542;0.527979;0.521558;0.804776;0.295610;0.294287;0.827121;0.170808;0.176504;0.571915;0.479678;0.422270;0.314302;0.399808;0.276903;0.309175;0.117219;0.128147;0.165689;0.522863;0.185371;0.599173;0.488856;0.208340;0.262346;0.711481;0.437987;0.207577;0.336043;0.246280;0.209487;0.591640;0.964814;0.908241;0.139479;0.284143;0.665649;0.427620;0.675360;0.766284;0.431312;0.372263;0.734164;0.448160;0.142183;0.814738;0.481723;0.320599;0.874818;0.651312;0.951463;0.605091;0.652584;0.440156;0.967353;0.962680;0.651257;0.961217;0.847215;0.760288;0.856642;0.654878;0.804398;0.573199;0.759665;0.369974;0.821280;0.947276;0.690919;0.845104;0.537008;0.946039;0.245230;0.883732;0.676017;0.169092;0.095787;0.136406;0.248905;0.303990;0.926973;0.389706;0.402439;0.596722;0.958502;0.644673;0.232650;0.288296;0.170991;0.561003;0.497961;0.729285;0.084631;0.139691;0.338600;0.309753;0.700743;0.232552;0.750507;0.978679;0.372895;0.252125;0.267358;0.312749;0.251654;0.306868;0.936722;0.837733;0.621618;0.945827;0.156704;
